COUNTY;POP;AREA;CHANGE
Cork;542196;7499,3;4.5
Galway;258552;6156;3.2
Mayo;130425;5597,6;-0.2
Donegal;158755;4869,8;-1.5
Kerry;147554;4806,3;1.4
Tipperary;160441;4312,9;1.1
Clare;118817;3454;1.2
Limerick;195175;2756,7;1.8
Roscommon;64436;2546,9;0.6
Wexford;149605;2367,2;2.9
Meath;194942;2343,1;5.9
Kilkenny;99118;2073,6;3.9
Wicklow;142332;2027,5;4.2
Offaly;78003;2005,2;1.7
Cavan;76092;1936,2;4
Waterford;116401;1856,5;2.3
Sligo;65357;1841;-0.1
Laois;84732;1718,7;5.2
Leitrim;31972;1590,6;0.5
Monaghan;61273;1295,4;1.3
Dublin;1345402;922;5.7
Carlow;56875;897,1;4.1
Louth;128375;826,1;4.5
Westmeath;8877;184,2;2.9
Kildare;22213;169,6;5.6
Longford;4081;109,1;4.6
